datetime,open,high,low,close,volume
2023-10-25,4.776,6.541,4.702,6.282,22536534.66
2023-10-26,6.285,6.865,5.762,6.307,11250650.01
2023-10-27,6.311,6.349,5.854,5.992,3409152.94
2023-10-28,5.993,6.496,5.972,6.084,2977506.04
2023-10-29,6.084,6.52,5.978,6.081,2887784.82
2023-10-30,6.086,6.474,6.038,6.378,3100208.12
2023-10-31,6.378,7.694,6.22,7.117,11498431.75
2023-11-01,7.122,7.187,5.95,6.414,6888861.71
2023-11-02,6.414,6.867,6.011,6.126,4208083.79
2023-11-03,6.125,6.16,5.646,5.834,2735471.18
2023-11-04,5.837,6.156,5.775,6.03,2721114.12
2023-11-05,6.032,6.399,5.862,6.019,3071341.05
2023-11-06,6.022,6.273,5.85,6.188,2313152.25
2023-11-07,6.185,6.99,6.006,6.398,8504221.48
2023-11-08,6.401,7.148,6.319,6.824,5645357.09
2023-11-09,6.818,7.0,5.171,6.465,5707789.27
2023-11-10,6.468,6.724,6.146,6.583,2975733.83
2023-11-11,6.589,7.51,6.358,6.904,5296828.82
2023-11-12,6.904,6.977,6.49,6.655,2698891.68
2023-11-13,6.659,8.344,6.455,6.926,12756957.3
2023-11-14,6.921,7.6,6.6,7.32,6623864.56
2023-11-15,7.323,7.913,7.111,7.605,5189546.94
2023-11-16,7.608,8.09,6.8,6.911,4401836.62
2023-11-17,6.908,7.202,6.123,6.418,4430579.08
2023-11-18,6.42,6.486,5.85,6.413,3368052.48
2023-11-19,6.414,6.658,6.231,6.506,2441900.16
2023-11-20,6.514,6.55,6.105,6.248,2020470.16
2023-11-21,6.246,6.479,5.556,5.626,3029775.01
2023-11-22,5.625,6.267,5.602,6.142,2074128.16
2023-11-23,6.143,6.447,6.083,6.202,2014973.13
2023-11-24,6.205,6.629,6.181,6.399,2640531.48
2023-11-25,6.399,6.549,6.225,6.426,1398255.83
2023-11-26,6.43,6.528,6.003,6.241,1844122.6
2023-11-27,6.244,6.298,5.761,5.945,2172229.71
2023-11-28,5.944,6.15,5.776,6.095,1764540.51
2023-11-29,6.097,6.161,5.922,6.028,1550247.99
2023-11-30,6.028,6.237,5.959,6.146,2073365.46
2023-12-01,6.147,6.279,6.093,6.219,1310815.94
2023-12-02,6.219,6.74,6.179,6.677,2426869.24
2023-12-03,6.677,6.877,6.366,6.512,3198030.76
2023-12-04,6.511,7.18,5.88,7.16,4453666.95
2023-12-05,7.161,7.38,6.9,7.2,4737484.0
2023-12-06,7.2,7.37,6.522,6.646,3581277.87
2023-12-07,6.648,7.1,6.461,6.851,2678739.97
2023-12-08,6.853,7.1,6.657,7.001,2418863.49
2023-12-09,7.005,7.146,6.539,6.653,2070317.5
2023-12-10,6.655,6.996,6.539,6.906,1297579.75
2023-12-11,6.905,6.941,5.672,6.136,2769524.89
2023-12-12,6.138,6.441,6.082,6.317,1622477.14
2023-12-13,6.317,6.443,5.94,6.39,1238245.03
2023-12-14,6.39,6.685,6.063,6.607,2325358.77
2023-12-15,6.607,6.622,5.955,5.994,1824994.08
2023-12-16,5.995,6.667,5.986,6.503,2957273.41
2023-12-17,6.505,6.647,6.104,6.141,2087339.64
2023-12-18,6.14,6.225,5.662,6.224,1871958.06
2023-12-19,6.225,6.347,6.084,6.244,1762112.31
2023-12-20,6.243,6.533,6.141,6.321,2055429.08
2023-12-21,6.321,6.571,6.21,6.523,1743157.94
2023-12-22,6.523,6.996,6.4,6.949,3206621.42
2023-12-23,6.952,7.116,6.581,6.76,2362952.71
2023-12-24,6.76,7.0,6.36,6.629,2374682.79
2023-12-25,6.63,7.879,6.63,7.196,5875264.58
2023-12-26,7.198,7.6,6.5,7.434,3872783.58
2023-12-27,7.437,7.786,7.06,7.362,4046330.08
2023-12-28,7.362,7.555,6.962,7.122,2555347.44
2023-12-29,7.122,7.245,6.653,6.843,1946690.81
2023-12-30,6.843,6.98,6.672,6.853,1043216.32
2023-12-31,6.855,7.154,6.66,6.793,1378689.01
2024-01-01,6.793,7.142,6.573,7.135,1504787.83
2024-01-02,7.136,7.46,6.98,7.128,2055986.85
2024-01-03,7.127,9.626,6.625,7.895,18863188.7
2024-01-04,7.897,8.6,7.607,7.985,6744897.19
2024-01-05,7.985,8.121,6.91,7.242,4053977.93
2024-01-06,7.244,7.548,6.567,7.329,3514801.9
2024-01-07,7.328,7.668,6.561,6.639,2869291.4
2024-01-08,6.641,7.199,6.144,7.012,3169423.81
2024-01-09,7.013,7.179,6.405,6.812,2286728.49
2024-01-10,6.812,7.389,6.523,7.182,1950002.88
2024-01-11,7.181,7.8,7.115,7.735,2023092.85
2024-01-12,7.738,8.346,7.505,7.961,3830039.48
2024-01-13,7.964,8.142,7.556,7.944,2233364.72
2024-01-14,7.944,8.051,7.559,7.601,1382448.87
2024-01-15,7.597,9.3,7.562,9.014,6962234.99
2024-01-16,9.014,9.377,8.65,8.772,3599372.6
2024-01-17,8.771,8.92,8.266,8.516,1907986.48
