datetime,open,high,low,close,volume
2021-12-06,191.6,203.9,162.7,179.9,1036293.279
2021-12-13,179.7,202.0,157.6,183.3,1024302.321
2021-12-20,183.3,280.8,167.2,267.8,1701038.978
2021-12-27,268.1,296.8,230.8,265.3,1584850.734
2022-01-03,265.3,286.4,199.7,209.5,1423819.858
2022-01-10,209.5,245.5,186.7,242.5,1006034.868
2022-01-17,242.4,244.3,135.0,158.4,1370548.6359
2022-01-24,158.5,164.0,131.1,148.9,968656.5826
2022-01-31,149.0,174.5,141.6,173.5,682778.724
2022-02-07,173.6,192.7,155.8,158.1,654529.376
2022-02-14,158.1,174.5,135.1,137.6,537488.718
2022-02-21,137.5,144.8,112.4,131.6,1168176.2117
2022-02-28,131.6,150.9,116.3,116.7,1332954.841
2022-03-07,116.7,130.5,113.3,115.7,824608.816
2022-03-14,115.6,165.6,113.4,152.6,1579436.397
2022-03-21,152.7,174.4,146.8,169.2,1153707.111
2022-03-28,169.2,261.2,164.8,243.0,3482271.694
2022-04-04,243.0,243.0,175.0,176.3,1478757.907
2022-04-11,176.3,180.3,155.6,166.7,910078.316
2022-04-18,166.7,198.8,157.4,166.4,1195237.761
2022-04-25,166.4,179.0,137.8,146.5,1739569.199
2022-05-02,146.5,162.2,125.1,125.9,1248534.255
2022-05-09,125.9,128.9,64.8,92.1,3420076.7441
2022-05-16,92.1,98.2,79.2,94.1,1639988.35
2022-05-23,94.2,109.8,89.5,95.5,2395439.969
2022-05-30,95.5,124.1,94.4,103.7,1810765.451
2022-06-06,103.7,111.9,69.2,70.3,1130763.899
2022-06-13,70.3,71.1,45.6,54.1,2603067.8451
2022-06-20,54.1,77.9,50.4,65.5,2993273.735
2022-06-27,65.5,69.3,53.0,57.7,1567154.243
2022-07-04,57.7,83.2,56.1,77.8,2436809.53
2022-07-11,77.8,96.0,65.7,88.2,2814465.27
2022-07-18,88.3,102.5,85.3,90.6,1923038.607
2022-07-25,90.5,109.6,76.5,97.6,2006623.879
2022-08-01,97.6,104.6,88.4,101.3,1366575.168
2022-08-08,101.3,115.8,95.1,107.5,1372913.815
2022-08-15,107.4,112.4,79.9,86.0,1419269.014
2022-08-22,85.9,95.8,78.2,78.6,1106055.101
2022-08-29,78.6,92.1,78.0,88.8,764811.117
2022-09-05,88.9,94.5,82.0,91.6,841768.814
2022-09-12,91.5,97.0,70.7,73.0,1360298.115
2022-09-19,73.1,79.6,70.4,73.6,708145.686
2022-09-26,73.6,80.9,72.1,72.6,632442.661
2022-10-03,72.6,80.4,71.8,75.5,373489.843
2022-10-10,75.5,76.5,64.7,75.8,445734.773
2022-10-17,75.9,90.1,74.7,88.8,741798.043
2022-10-24,88.9,90.0,80.5,83.9,1028139.621
2022-10-31,83.9,98.4,79.1,86.4,1192828.26
2022-11-07,86.3,90.5,55.7,56.6,2816269.34
2022-11-14,56.7,63.0,53.4,56.1,1180851.211
2022-11-21,56.0,63.4,50.2,61.5,1953608.358
2022-11-28,61.5,66.4,58.5,64.4,829263.889
2022-12-05,64.4,67.3,59.2,59.6,576703.662
2022-12-12,59.6,63.9,53.1,55.8,664932.79
2022-12-19,55.9,56.6,53.0,54.4,417745.713
2022-12-26,54.5,58.3,51.1,52.2,510412.282
2023-01-02,52.2,59.7,51.3,59.3,662042.878
2023-01-09,59.3,82.9,59.0,79.2,1627175.889
2023-01-16,79.3,91.3,76.4,85.4,1773524.095
2023-01-23,85.3,90.7,78.1,87.6,1178275.362
2023-01-30,87.7,94.5,79.2,85.7,1196296.459
2023-02-06,85.6,91.0,76.2,77.4,937304.158
2023-02-13,77.4,95.5,73.6,90.1,1735631.863
2023-02-20,90.0,93.1,77.2,82.2,781995.832
2023-02-27,82.3,83.6,73.0,75.0,528461.021
2023-03-06,75.1,77.8,63.9,72.7,655434.86
2023-03-13,72.8,81.9,70.8,79.4,823638.908
2023-03-20,79.4,80.5,70.1,72.9,692923.451
2023-03-27,72.9,74.9,68.1,73.0,548105.138
2023-04-03,73.0,81.5,70.9,76.2,445258.416
2023-04-10,76.3,84.3,75.1,83.4,634423.558
2023-04-17,83.4,84.5,68.1,70.4,504975.053
2023-04-24,70.4,74.7,65.9,70.2,354324.911
2023-05-01,70.2,74.3,67.4,68.7,307386.026
2023-05-08,68.7,69.2,60.1,62.3,428971.212
2023-05-15,62.3,67.4,61.4,63.9,357981.473
2023-05-22,64.0,69.5,62.3,69.0,258424.237
2023-05-29,69.1,69.5,62.2,62.8,382317.852
2023-06-05,62.8,63.2,47.3,52.2,606326.677
2023-06-12,52.2,56.1,49.0,50.93,578211.904
2023-06-19,50.94,76.9,50.16,68.76,1695836.074
2023-06-26,68.75,73.41,57.37,70.69,2324950.075
2023-07-03,70.7,81.5,68.71,71.84,1961448.549
2023-07-10,71.85,88.0,68.71,76.83,1552282.304
2023-07-17,76.82,79.44,70.76,72.28,842468.134
2023-07-24,72.27,75.14,68.01,70.86,701203.75
2023-07-31,70.85,72.31,61.48,65.94,1654670.089
2023-08-07,65.94,69.56,62.87,65.65,577793.283
2023-08-14,65.63,66.65,50.0,57.12,721031.873
2023-08-21,57.13,58.97,52.66,58.35,390005.449
2023-08-28,58.36,60.74,53.57,54.8,432580.681
2023-09-04,54.78,57.4,53.56,54.03,278596.516
2023-09-11,54.02,62.83,51.39,59.34,665881.454
2023-09-18,59.36,66.11,58.18,61.74,638847.2
2023-09-25,61.75,72.4,59.87,72.21,644179.328
2023-10-02,72.24,72.8,63.0,66.04,861820.782
2023-10-09,66.03,66.12,61.74,63.96,292398.605
2023-10-16,63.95,80.5,61.06,79.27,1762844.011
2023-10-23,79.3,90.9,75.67,84.49,1907993.772
2023-10-30,84.5,102.7,79.0,89.09,2191680.066
2023-11-06,89.09,110.0,87.54,99.86,2703598.535
2023-11-13,99.81,104.76,82.81,91.52,1287403.738
2023-11-20,91.57,103.26,83.5,97.91,1231893.884
2023-11-27,97.9,106.0,92.88,102.72,699676.806
2023-12-04,102.71,104.97,94.5,97.98,1215988.054
2023-12-11,97.96,119.0,87.0,100.1,1778317.745
2023-12-18,100.09,108.65,93.15,99.61,1723486.925
2023-12-25,99.58,129.88,98.1,108.69,2791988.856
2024-01-01,108.68,120.0,92.39,94.94,1196105.17
2024-01-08,94.92,118.03,88.45,99.42,1340983.922
